County,CountyCode
Alameda ,6001
Amador ,6005
Butte ,6007
Calaveras ,6009
California/Statewide,6000
Colusa ,6011
Contra Costa ,6013
Del Norte ,6015
El Dorado ,6017
Fresno ,6019
Glenn ,6021
Humboldt ,6023
Imperial ,6025
Inyo ,6027
Kern ,6029
Kings ,6031
Lake ,6033
Lassen ,6035
Los Angeles ,6037
Madera ,6039
Marin ,6041
Mariposa ,6043
Mendocino ,6045
Merced ,6047
Modoc ,6049
Mono ,6051
Monterey ,6053
Napa ,6055
Nevada ,6057
Orange ,6059
Placer ,6061
Plumas ,6063
Riverside ,6065
Sacramento ,6067
San Benito ,6069
San Bernardino ,6071
San Diego ,6073
San Francisco ,6075
San Joaquin ,6077
San Luis Obispo ,6079
San Mateo ,6081
Santa Barbara ,6083
Santa Clara ,6085
Santa Cruz ,6087
Shasta ,6089
Siskiyou ,6093
Solano ,6095
Sonoma ,6097
Stanislaus ,6099
Sutter ,6101
Tehama ,6103
Trinity ,6105
Tulare ,6107
Tuolumne ,6109
Ventura ,6111
Yolo ,6113
Yuba ,6115
