Station,County
CCC , 'DEL NORTE'
CRE , 'DEL NORTE'
GAS , 'DEL NORTE'
CEC , 'DEL NORTE'
OAR , 'HUMBOLDT'
TLL , 'SISKIYOU'
HAP , 'SISKIYOU'
YRK , 'SISKIYOU'
OLS , 'HUMBOLDT'
FJN , 'SISKIYOU'
CAL , 'SISKIYOU'
CFF , 'TRINITY'
HOO , 'HUMBOLDT'
BGB , 'TRINITY'
WVR , 'TRINITY'
LFH , 'TRINITY'
HNW , 'HUMBOLDT'
FBR , 'MENDOCINO'
ERK , 'HUMBOLDT'
BVL , 'HUMBOLDT'
SCA , 'HUMBOLDT'
MAD , 'TRINITY'
SNH , 'MENDOCINO'
COV , 'MENDOCINO'
PVP , 'MENDOCINO'
UKH , 'MENDOCINO'
WRS , 'SONOMA'
HEA , 'SONOMA'
FRR , 'SONOMA'
SRO , 'SONOMA'
BNL , 'MENDOCINO'
LGT , 'MARIN'
APU , 'NAPA'
NSH , 'NAPA'
FRF , 'SOLANO'
OKL , 'ALAMEDA'
LVH , 'ALAMEDA'
OKM , 'ALAMEDA'
SFF , 'SAN MATEO'
SNJ , 'SANTA CLARA'
HML , 'SANTA CLARA'
CRZ , 'SANTA CRUZ'
WTW , 'SANTA CRUZ'
HLS , 'SAN BENITO'
SAO , 'none specified'
SAP , 'MONTEREY'
BGS , 'MONTEREY'
KNC , 'MONTEREY'
PSV , 'MONTEREY'
PAS , 'SAN LUIS OBISPO'
MTY , 'MONTEREY'
SLO , 'SAN LUIS OBISPO'
NCY , 'SANTA BARBARA'
SAM , 'SANTA BARBARA'
LAL , 'SANTA BARBARA'
CCH , 'SANTA BARBARA'
JNL , 'SANTA BARBARA'
SBR , 'SANTA BARBARA'
LAC , 'LOS ANGELES'
WLS , 'LOS ANGELES'
LAN , 'LOS ANGELES'
LBC , 'LOS ANGELES'
SGS , 'LOS ANGELES'
PAL , 'VENTURA'
VNR , 'VENTURA'
OXN , 'VENTURA'
BPP , 'LOS ANGELES'
BTJ , 'LOS ANGELES'
LCC , 'LOS ANGELES'
CGS , 'LOS ANGELES'
BDD , 'LOS ANGELES'
SND , 'LOS ANGELES'
CPC , 'LOS ANGELES'
BBE , 'SAN BERNARDINO'
LYT , 'SAN BERNARDINO'
SBD , 'SAN BERNARDINO'
ANA , 'ORANGE'
ELS , 'RIVERSIDE'
LGB , 'ORANGE'
HSD , 'SAN DIEGO'
OSM , 'SAN DIEGO'
CUY , 'SAN DIEGO'
ELC , 'SAN DIEGO'
SDG , 'SAN DIEGO'
BRT , 'SAN DIEGO'
SFA , 'COLUSA'
MSC , 'SISKIYOU'
DNM , 'SISKIYOU'
GBS , 'SHASTA'
GIB , 'SHASTA'
SHA , 'SHASTA'
SHO , 'SHASTA'
WHK , 'SHASTA'
WHI , 'SHASTA'
MLD , 'SHASTA'
ALT , 'MODOC'
JSV , 'MODOC'
ADN , 'MODOC'
BBR , 'LASSEN'
PR1 , 'SHASTA'
PT1 , 'SHASTA'
PR5 , 'LASSEN'
PT5 , 'SHASTA'
HTC , 'LASSEN'
MZL , 'SHASTA'
HAT , 'SHASTA'
KLR , 'SHASTA'
RDD , 'SHASTA'
VLT , 'SHASTA'
MNR , 'TEHAMA'
CES , 'BUTTE'
PSK , 'TEHAMA'
HRR , 'SHASTA'
RBF , 'TEHAMA'
ORL , 'GLENN'
WLO , 'GLENN'
WCV , 'COLUSA'
WLM , 'COLUSA'
CLH , 'LAKE'
WDL , 'YOLO'
SCR , 'SACRAMENTO'
DVS , 'SACRAMENTO'
DES , 'BUTTE'
DSB , 'BUTTE'
PRD , 'BUTTE'
STG , 'GLENN'
EPK , 'COLUSA'
ORS , 'BUTTE'
HRF , 'LASSEN'
CHS , 'PLUMAS'
CNY , 'PLUMAS'
GNV , 'PLUMAS'
CBO , 'PLUMAS'
QNC , 'PLUMAS'
QRD , 'PLUMAS'
BKP , 'PLUMAS'
BUP , 'PLUMAS'
PRT , 'PLUMAS'
VNT , 'PLUMAS'
PLE , 'PLUMAS'
BCM , 'BUTTE'
BRS , 'BUTTE'
BCR , 'BUTTE'
SRR , 'SIERRA'
STV , 'YUBA'
ORF , 'BUTTE'
NIC , 'SUTTER'
DWV , 'SIERRA'
CHL , 'YUBA'
CMV , 'YUBA'
CAM , 'YUBA'
DBB , 'YUBA'
CLG , 'YUBA'
DMF , 'PLACER'
BYM , 'PLACER'
BLC , 'PLACER'
CLF , 'PLACER'
FRH , 'PLACER'
GRG , 'EL DORADO'
AUB , 'PLACER'
COA , 'EL DORADO'
PCF , 'EL DORADO'
EDI , 'EL DORADO'
CPT , 'ALPINE'
PCV , 'EL DORADO'
FLD , 'SACRAMENTO'
LKP , 'LAKE'
CPY , 'YOLO'
CBB , 'LAKE'
WNT , 'YOLO'
RIV , 'SOLANO'
APP , 'CONTRA COSTA'
SLP , 'EL DORADO'
FDD , 'AMADOR'
STS , 'AMADOR'
SSR , 'CALAVERAS'
SLS , 'AMADOR'
TGR , 'AMADOR'
TCP , 'CALAVERAS'
WPT , 'CALAVERAS'
EPH , 'AMADOR'
CPD , 'CALAVERAS'
LOD , 'SAN JOAQUIN'
SDR , 'CALAVERAS'
CVT , 'CALAVERAS'
PCR , 'TUOLUMNE'
PNC , 'TUOLUMNE'
SFB , 'CALAVERAS'
SGF , 'TUOLUMNE'
NMQ , 'TUOLUMNE'
KNF , 'STANISLAUS'
STN , 'TUOLUMNE'
SOR , 'TUOLUMNE'
CVD , 'TUOLUMNE'
HTH , 'TUOLUMNE'
MTR , 'TUOLUMNE'
EIN , 'TUOLUMNE'
GVL , 'TUOLUMNE'
MCN , 'TUOLUMNE'
MDE , 'STANISLAUS'
YSM , 'MARIPOSA'
YSV , 'MARIPOSA'
YYV , 'MARIPOSA'
DDL , 'MARIPOSA'
EXC , 'MARIPOSA'
YOW , 'MARIPOSA'
MRP , 'MARIPOSA'
SEY , 'MARIPOSA'
OCV , 'FRESNO'
GAT , 'SACRAMENTO'
OKD , 'STANISLAUS'
CRR , 'MADERA'
CRV , 'MADERA'
FLR , 'FRESNO'
NFR , 'MADERA'
HNT , 'FRESNO'
BGC , 'FRESNO'
ABR , 'FRESNO'
MIL , 'FRESNO'
FGC , 'FRESNO'
MEN , 'FRESNO'
CLN , 'FRESNO'
AGL , 'TULARE'
NWM , 'STANISLAUS'
STK , 'SAN JOAQUIN'
TCR , 'SAN JOAQUIN'
MFS , 'MERCED'
LSB , 'MERCED'
MDR , 'MADERA'
PNH , 'SAN BENITO'
WSH , 'FRESNO'
WSD , 'FRESNO'
BLH , 'FRESNO'
BAL , 'FRESNO'
PNF , 'FRESNO'
GRO , 'TULARE'
BRM , 'TULARE'
LDG , 'TULARE'
GNF , 'TULARE'
ASM , 'TULARE'
3RV , 'TULARE'
ATW , 'TULARE'
TRM , 'TULARE'
LMC , 'TULARE'
HCK , 'TULARE'
SGT , 'TULARE'
MNH , 'TULARE'
SPV , 'TULARE'
HSS , 'TULARE'
SGV , 'TULARE'
TLP , 'TULARE'
RGC , 'TULARE'
SCC , 'TULARE'
EGL , 'TULARE'
INY , 'KERN'
PSC , 'TULARE'
KR3 , 'KERN'
KP3 , 'KERN'
GLV , 'KERN'
ISB , 'KERN'
KR1 , 'KERN'
KCP , 'KERN'
PRV , 'TULARE'
FRO , 'FRESNO'
HND , 'KINGS'
VSL , 'TULARE'
LND , 'TULARE'
KTM , 'KINGS'
WSC , 'KERN'
BFK , 'KERN'
THH , 'KERN'
MRA , 'KERN'
FBW , 'MODOC'
CDV , 'MODOC'
RVD , 'LASSEN'
SSV , 'LASSEN'
SSN , 'LASSEN'
DYL , 'LASSEN'
TAC , 'PLACER'
MIS , 'EL DORADO'
WDF , 'ALPINE'
MKV , 'ALPINE'
GHS , 'ALPINE'
BPT , 'MONO'
BDG , 'MONO'
BDE , 'MONO'
MNL , 'MONO'
LVG , 'MONO'
ERY , 'MONO'
RSH , 'MONO'
GLK , 'MONO'
AQD , 'INYO'
CRC , 'MONO'
BIS , 'INYO'
SBN , 'INYO'
SLK , 'INYO'
BPN , 'INYO'
IPN , 'INYO'
CTT , 'INYO'
HWE , 'INYO'
CNL , 'KERN'
DTV , 'INYO'
LNC , 'LOS ANGELES'
MTP , 'SAN BERNARDINO'
FMT , 'LOS ANGELES'
ELM , 'SAN BERNARDINO'
LPA , 'LOS ANGELES'
VCT , 'SAN BERNARDINO'
ARR , 'SAN BERNARDINO'
DGT , 'SAN BERNARDINO'
BFS , 'SAN BERNARDINO'
NDL , 'SAN BERNARDINO'
29P , 'SAN BERNARDINO'
THR , 'RIVERSIDE'
BLY , 'RIVERSIDE'
NLD , 'IMPERIAL'
IMP , 'IMPERIAL'
PMS , 'RIVERSIDE'
