Station,County
KLM , SISKIYOU
GBR , SISKIYOU
IRG , SISKIYOU
CLK , MODOC
DWN , SISKIYOU
CLE , TRINITY
LEW , TRINITY
RTD , TRINITY
PLL , LAKE
MNC , MENDOCINO
WRS , SONOMA
SLJ , MARIN
NCA , MARIN
KNT , MARIN
BMP , MARIN
LGT , MARIN
APN , MARIN
HNN , NAPA
BIO , CONTRA COSTA
USL , ALAMEDA
CHB , ALAMEDA
DLV , ALAMEDA
SAT , ALAMEDA
CVE , ALAMEDA
AST , SANTA CLARA
LNG , SANTA CLARA
LRA , SANTA CLARA
CYC , SANTA CLARA
CRY , SAN MATEO
SPB , CONTRA COSTA
LFY , CONTRA COSTA
SNN , SAN MATEO
ATN , MONTEREY
WHR , SAN LUIS OBISPO
SLN , SAN LUIS OBISPO
NCM , SAN LUIS OBISPO
TWT , SAN LUIS OBISPO
CCH , SANTA BARBARA
GBL , SANTA BARBARA
MAT , VENTURA
CSI , VENTURA
PYM , LOS ANGELES
BQC , LOS ANGELES
CAS , LOS ANGELES
PRU , VENTURA
CGS , LOS ANGELES
SGB , LOS ANGELES
MHW , RIVERSIDE
PRR , RIVERSIDE
HMT , RIVERSIDE
BRV , SAN BERNARDINO
SVO , SAN BERNARDINO
VLP , ORANGE
SGC , ORANGE
RLC , RIVERSIDE
DMV , RIVERSIDE
VIL , RIVERSIDE
STD , SAN DIEGO
HDG , SAN DIEGO
SKN , RIVERSIDE
HNS , SAN DIEGO
CUY , SAN DIEGO
SVT , SAN DIEGO
MMR , SAN DIEGO
ELC , SAN DIEGO
JNN , SAN DIEGO
MRR , SAN DIEGO
MOR , SAN DIEGO
BRT , SAN DIEGO
LVD , SAN DIEGO
SW3 , SAN DIEGO
LOT , SAN DIEGO
SHA , SHASTA
KES , SHASTA
WHI , SHASTA
MCO , SHASTA
IRC , SHASTA
BIT , SHASTA
PT7 , SHASTA
PT6 , SHASTA
BLB , TEHAMA
STG , GLENN
EPK , COLUSA
MMW , LASSEN
ALM , PLUMAS
ANT , PLUMAS
BTV , PLUMAS
BCL , PLUMAS
DAV , PLUMAS
FRD , PLUMAS
LGV , PLUMAS
SLC , BUTTE
ORO , BUTTE
THD , BUTTE
TFR , BUTTE
TMT , BUTTE
TAB , BUTTE
BUL , YUBA
RLL , PLACER
CFW , YUBA
LVY , PLACER
FMD , PLACER
HHL , PLACER
LON , EL DORADO
EDN , EL DORADO
UNV , EL DORADO
ICH , EL DORADO
SLB , EL DORADO
CPL , ALPINE
FOL , SACRAMENTO
SIV , AMADOR
NAT , SACRAMENTO
INV , LAKE
CLA , LAKE
BER , NAPA
SOL , SOLANO
BTH , ALAMEDA
LVQ , CONTRA COSTA
JNK , EL DORADO
LWB , AMADOR
SLS , AMADOR
PAR , CALAVERAS
CMN , SAN JOAQUIN
NHG , CALAVERAS
SPM , TUOLUMNE
DON , TUOLUMNE
RLF , TUOLUMNE
BRD , TUOLUMNE
SWB , TUOLUMNE
LYS , TUOLUMNE
NML , CALAVERAS
TUL , CALAVERAS
CHY , TUOLUMNE
ENR , TUOLUMNE
HTH , TUOLUMNE
DNP , TUOLUMNE
MDO , STANISLAUS
TLC , STANISLAUS
MCR , MARIPOSA
MCS , MARIPOSA
BUC , MADERA
HID , MADERA
TAE , FRESNO
MPL , FRESNO
CNV , MADERA
FLR , FRESNO
HNT , FRESNO
SHV , FRESNO
RDN , MADERA
KRH , FRESNO
MIL , FRESNO
SNL , MERCED
ONF , MERCED
LUS , MERCED
SLF , MERCED
LSB , MERCED
CTG , FRESNO
WSN , FRESNO
PNF , FRESNO
TRM , TULARE
SCC , TULARE
ISB , KERN
STP , SIERRA
INL , SIERRA
TAH , PLACER
BDP , MONO
SDB , MONO
GNT , MONO
GLK , MONO
CRW , MONO
PVR , INYO
SLK , INYO
TNM , INYO
HWE , INYO
FMT , LOS ANGELES
SLW , SAN BERNARDINO
HVS , SAN BERNARDINO
