Sensor,Date,Value
BER,200501,51.53333333
BER,200502,53.16666667
BER,200503,638.3333333
BER,200504,684.7
BER,200505,540
BER,200506,555.9666667
BER,200507,606.6666667
BER,200508,494.8666667
BER,200509,278.9666667
BER,200510,158.2666667
BER,200511,63.43333333
BER,200512,79.26666667
BER,200601,2322.6
BER,200602,718.8333333
BER,200603,3079.433333
BER,200604,3163.6
BER,200605,688.5
BER,200606,552.0333333
BER,200607,613.1666667
BER,200608,535.1666667
BER,200609,384
BER,200610,142.1
BER,200611,52.06666667
BER,200612,42.7
BER,200701,69.3
BER,200702,59.5
BER,200703,174.4333333
BER,200704,436.6
BER,200705,510.8
BER,200706,613.7
BER,200707,637.8333333
BER,200708,595.0666667
BER,200709,445.4
BER,200710,187.2
BER,200711,64.23333333
BER,200712,95.73333333
BER,200801,69.36666667
BER,200802,63.7
BER,200803,208.3666667
BER,200804,487.3666667
BER,200805,545.2
BER,200806,620.6666667
BER,200807,660.6333333
BER,200808,575.5
BER,200809,414.8666667
BER,200810,178.3666667
BER,200811,70.13333333
BER,200812,97.8
BER,200901,79.3
BER,200902,64.46666667
BER,200903,130.0666667
BER,200904,398.8666667
BER,200905,474
BER,200906,566.7666667
BER,200907,645
BER,200908,571
BER,200909,408.6666667
BER,200910,132.1333333
BER,200911,72.53333333
BER,200912,112.7666667
BER,201001,95.56666667
BER,201002,60.2
BER,201003,101
BER,201004,157.8
BER,201005,390.4333333
BER,201006,575.9333333
BER,201007,678.9
BER,201008,534.4666667
BER,201009,378.6666667
BER,201010,184.9333333
BER,201011,62.46666667
BER,201012,83.8
BER,201101,89.6
BER,201102,71.56666667
BER,201103,50.7
BER,201104,227.5333333
BER,201105,437.3666667
BER,201106,453.0666667
BER,201107,632.6333333
BER,201108,581.2666667
BER,201109,382.2333333
BER,201110,129.5666667
BER,201111,70.83333333
BER,201112,100.5666667
BER,201201,95.8
BER,201202,105.1333333
BER,201203,158.3666667
BER,201204,161.9
BER,201205,559.3
BER,201206,632.0666667
BER,201207,680.6333333
BER,201208,613.3666667
BER,201209,400.8
BER,201210,205.2
BER,201211,47.43333333
BER,201212,77.8
BER,201301,86.53333333
BER,201302,99.33333333
BER,201303,499.5
BER,201304,970.2
BER,201305,849.0666667
BER,201306,653.3666667
BER,201307,706.0333333
BER,201308,540.8333333
BER,201309,343.0333333
BER,201310,186.1333333
BER,201311,101.2
BER,201312,106.9666667
BER,201401,232.4
BER,201402,115.8666667
BER,201403,141.1666667
BER,201404,236.4
BER,201405,518.4333333
BER,201406,699.3333333
BER,201407,717.1333333
BER,201408,528.3
BER,201409,401.3
BER,201410,218.3
BER,201411,134
BER,201412,94.4
BER,201501,120.0666667
BER,201502,73.26666667
BER,201503,235.6
BER,201504,364
BER,201505,504.2666667
BER,201506,603.7666667
BER,201507,599.6333333
BER,201508,452.3
BER,201509,343.4333333
BER,201510,146.3
BER,201511,101.7
BER,201512,120.5666667
BER,201601,105.8
BER,201602,110
BER,201603,92.86666667
BER,201604,296.2
BER,201605,437.9
BER,201606,555.8666667
BER,201607,569.9666667
BER,201608,475.8333333
BER,201609,346.4
BER,201610,133.3333333
BER,201611,93.16666667
BER,201612,86.83333333
BER,201701,49.93333333
BER,201702,1957.533333
BER,201703,1385.533333
BER,201704,978.2
BER,201705,404.4666667
BER,201706,439.1666667
BER,201707,502.6333333
BER,201708,414.6666667
BER,201709,331.5
BER,201710,229.8
BER,201711,83.66666667
BER,201712,74.6
BER,201801,74.73333333
BER,201802,58.43333333
BER,201803,108.4666667
BER,201804,209.0333333
BER,201805,414.7333333
BER,201806,522
BER,201807,568
BER,201808,472.3333333
BER,201809,331.7333333
BER,201810,218.8333333
BER,201811,91.56666667
BER,201812,78.3
BER,201901,82.33333333
BER,201902,638.3333333
BER,201903,2948.4
BER,201904,961.0666667
BER,201905,272.3666667
BER,201906,451.4666667
BER,201907,491.6666667
BER,201908,406.2
BER,201909,291.4333333
BLB,201910,220.7333333
BLB,200501,1544.533333
BLB,200502,1427.333333
BLB,200503,1460.766667
BLB,200504,811.8333333
BLB,200505,1317.366667
BLB,200506,460.8
BLB,200507,486.3333333
BLB,200508,494.0333333
BLB,200509,360.1666667
BLB,200510,201.1333333
BLB,200511,97.9
BLB,200512,1944.5
BLB,200601,3017.766667
BLB,200602,621.7333333
BLB,200603,2190.9
BLB,200604,3715.066667
BLB,200605,859.4
BLB,200606,439.9333333
BLB,200607,388.8333333
BLB,200608,424.1333333
BLB,200609,315.4666667
BLB,200610,205.9666667
BLB,200611,68.7
BLB,200612,198.7
BLB,200701,372.1666667
BLB,200702,208.0666667
BLB,200703,138.9
BLB,200704,254.2333333
BLB,200705,357.0666667
BLB,200706,306.5666667
BLB,200707,305.3333333
BLB,200708,282.4
BLB,200709,219.8333333
BLB,200710,89.76666667
BLB,200711,23.56666667
BLB,200712,31.16666667
BLB,200801,641.8666667
BLB,200802,1632.433333
BLB,200803,359.4
BLB,200804,405.7
BLB,200805,412.4
BLB,200806,322.6666667
BLB,200807,306.2333333
BLB,200808,305.4666667
BLB,200809,271.5666667
BLB,200810,159.4
BLB,200811,29.16666667
BLB,200812,30.73333333
BLB,200901,39.7
BLB,200902,28.83333333
BLB,200903,142.4666667
BLB,200904,150.1333333
BLB,200905,253.1333333
BLB,200906,246.3333333
BLB,200907,299.4333333
BLB,200908,279.5333333
BLB,200909,224.4333333
BLB,200910,75.36666667
BLB,200911,64.16666667
BLB,200912,29.5
BLB,201001,1463.466667
BLB,201002,1352.7
BLB,201003,133.6333333
BLB,201004,900.4
BLB,201005,645.8666667
BLB,201006,468.4666667
BLB,201007,412.0666667
BLB,201008,487.5666667
BLB,201009,388.8333333
BLB,201010,199.9666667
BLB,201011,372.3333333
BLB,201012,945.5
BLB,201101,871.6333333
BLB,201102,301.9
BLB,201103,2565.133333
BLB,201104,486.6666667
BLB,201105,275.9333333
BLB,201106,950.5
BLB,201107,494.9
BLB,201108,500.9333333
BLB,201109,342.4666667
BLB,201110,186
BLB,201111,73.86666667
BLB,201112,135.8333333
BLB,201201,144.2666667
BLB,201202,63.63333333
BLB,201203,29
BLB,201204,140.7333333
BLB,201205,456.9666667
BLB,201206,415.3333333
BLB,201207,339.4666667
BLB,201208,328
BLB,201209,278.5
BLB,201210,155.1666667
BLB,201211,31.3
BLB,201212,2281.433333
BLB,201301,578.6666667
BLB,201302,180.7666667
BLB,201303,132
BLB,201304,184.3666667
BLB,201305,271.8333333
BLB,201306,272.3333333
BLB,201307,300.4
BLB,201308,277.2333333
BLB,201309,183.3666667
BLB,201310,149.5666667
BLB,201311,22.53333333
BLB,201312,24.46666667
BLB,201401,22.8
BLB,201402,5.8
BLB,201403,5.3
BLB,201404,63
BLB,201405,170.6666667
BLB,201406,194.6666667
BLB,201407,186.0333333
BLB,201408,179.0666667
BLB,201409,104.3
BLB,201410,115.5666667
BLB,201411,4.6
BLB,201412,1240.1
BLB,201501,101.5333333
BLB,201502,551.7666667
BLB,201503,110.8666667
BLB,201504,149.6666667
BLB,201505,194.6333333
BLB,201506,222.1666667
BLB,201507,223.3333333
BLB,201508,214.6333333
BLB,201509,156.9666667
BLB,201510,128
BLB,201511,0.366666667
BLB,201512,0
BLB,201601,1519.166667
BLB,201602,168.1333333
BLB,201603,2284.7
BLB,201604,154.3
BLB,201605,194.6333333
BLB,201606,225.2666667
BLB,201607,248.1333333
BLB,201608,241.2
BLB,201609,198.4666667
BLB,201610,89.93333333
BLB,201611,25.6
BLB,201612,1013.833333
BLB,201701,4202.933333
BLB,201702,5800.4
BLB,201703,804.9333333
BLB,201704,664.2666667
BLB,201705,316.5333333
BLB,201706,323.4666667
BLB,201707,449.2
BLB,201708,338.3666667
BLB,201709,250.6666667
BLB,201710,198.6
BLB,201711,46.53333333
BLB,201712,29.96666667
BLB,201801,61.26666667
BLB,201802,76.46666667
BLB,201803,30.73333333
BLB,201804,92.56666667
BLB,201805,232.5333333
BLB,201806,251.2333333
BLB,201807,266.0666667
BLB,201808,252.9666667
BLB,201809,199.9666667
BLB,201810,125.3
BLB,201811,68.36666667
BLB,201812,33.5
BLB,201901,1679.6
BLB,201902,4048.333333
BLB,201903,4396.2
BLB,201904,429.3666667
BLB,201905,447.6333333
BLB,201906,395.5333333
BLB,201907,456.7666667
BLB,201908,429.1666667
BLB,201909,393.3
BOC,201910,214.9
BOC,201706,0
BOC,201707,97.26666667
BOC,201708,136
BOC,201709,173.5666667
BOC,201710,182.1666667
BOC,201711,113.3666667
BOC,201712,83.06666667
BOC,201801,99.66666667
BOC,201802,108.8666667
BOC,201803,221.8333333
BOC,201804,409.9
BOC,201805,109.4333333
BOC,201806,127.6333333
BOC,201807,164.8666667
BOC,201808,163.6
BOC,201809,167.4333333
BOC,201810,193.6
BOC,201811,107.1333333
BOC,201812,106.8666667
BOC,201901,116.7333333
BOC,201902,29.2
BOC,201903,266.5
BOC,201904,867.2
BOC,201905,735.9333333
BOC,201906,332.1
BOC,201907,103.1666667
BOC,201908,137.0666667
BOC,201909,84.86666667
BRD,201910,83.23333333
BRD,200501,361.4
BRD,200502,374.6
BRD,200503,408.3333333
BRD,200504,696.9666667
BRD,200505,2695.933333
BRD,200506,2295.566667
BRD,200507,1152.666667
BRD,200508,553.2333333
BRD,200509,491.6666667
BRD,200510,464.8666667
BRD,200511,567.7666667
BRD,200512,488.2333333
BRD,200601,673.3
BRD,200602,779.3333333
BRD,200603,841.3666667
BRD,200604,1248.433333
BRD,200605,3099
BRD,200606,2060.966667
BRD,200607,890.1
BRD,200608,542.8666667
BRD,200609,485.3666667
BRD,200610,369.9666667
BRD,200611,473.8
BRD,200612,513.6
BRD,200701,648.2666667
BRD,200702,262
BRD,200703,302.6
BRD,200704,223.0333333
BRD,200705,244.7333333
BRD,200706,254.3
BRD,200707,425.7666667
BRD,200708,378.3
BRD,200709,300.8333333
BRD,200710,252.6666667
BRD,200711,298.3
BRD,200712,221.9333333
BRD,200801,195.1
BRD,200802,135.1333333
BRD,200803,276.4
BRD,200804,446.8333333
BRD,200805,411.4
BRD,200806,365.3
BRD,200807,527.6666667
BRD,200808,545.0333333
BRD,200809,523.9666667
BRD,200810,346.7666667
BRD,200811,197.4
BRD,200812,277.5333333
BRD,200901,141.4333333
BRD,200902,294.6333333
BRD,200903,545.6
BRD,200904,643.1666667
BRD,200905,1522.933333
BRD,200906,913.2333333
BRD,200907,625.6666667
