Year,STATE,STATEFIPS,COUNTYFIPS,FIPS,State-County Name,TP-TotPop,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-WTotl
2005,CA,06,001,06001,California-Alameda County,1448.905,64.48,0.00,64.48,107.28,0.00,107.28,171.76,0.00,171.76
2005,CA,06,003,06003,California-Alpine County,1.159,0.03,0.00,0.03,15.08,0.00,15.08,15.11,0.00,15.11
2005,CA,06,005,06005,California-Amador County,38.471,4.04,0.00,4.04,20.02,0.00,20.02,24.06,0.00,24.06
2005,CA,06,007,06007,California-Butte County,214.185,308.21,0.38,308.59,481.35,0.00,481.35,789.56,0.38,789.94
2005,CA,06,009,06009,California-Calaveras County,46.871,7.40,0.00,7.40,9.89,0.00,9.89,17.29,0.00,17.29
2005,CA,06,011,06011,California-Colusa County,21.095,139.98,0.03,140.01,776.28,0.00,776.28,916.26,0.03,916.29
2005,CA,06,013,06013,California-Contra Costa County,1017.787,55.43,2.64,58.07,273.95,1347.10,1621.05,329.38,1349.74,1679.12
2005,CA,06,015,06015,California-Del Norte County,28.705,5.25,0.06,5.31,3.71,0.00,3.71,8.96,0.06,9.02
2005,CA,06,017,06017,California-El Dorado County,176.841,21.91,0.11,22.02,23.99,0.00,23.99,45.90,0.11,46.01
2005,CA,06,019,06019,California-Fresno County,877.584,859.90,8.39,868.29,2391.93,0.00,2391.93,3251.83,8.39,3260.22
2005,CA,06,021,06021,California-Glenn County,27.759,278.33,0.44,278.77,462.43,0.00,462.43,740.76,0.44,741.20
2005,CA,06,023,06023,California-Humboldt County,128.376,46.10,0.18,46.28,15.90,75.00,90.90,62.00,75.18,137.18
2005,CA,06,025,06025,California-Imperial County,155.823,40.76,0.00,40.76,2104.18,0.00,2104.18,2144.94,0.00,2144.94
2005,CA,06,027,06027,California-Inyo County,18.156,51.93,0.00,51.93,28.50,0.00,28.50,80.43,0.00,80.43
2005,CA,06,029,06029,California-Kern County,756.825,1055.15,88.27,1143.42,1520.13,0.00,1520.13,2575.28,88.27,2663.55
2005,CA,06,031,06031,California-Kings County,143.420,545.09,0.02,545.11,835.32,0.00,835.32,1380.41,0.02,1380.43
2005,CA,06,033,06033,California-Lake County,65.147,27.09,0.07,27.16,18.06,0.00,18.06,45.15,0.07,45.22
2005,CA,06,035,06035,California-Lassen County,34.751,79.89,0.04,79.93,166.94,0.00,166.94,246.83,0.04,246.87
2005,CA,06,037,06037,California-Los Angeles County,9935.475,401.18,86.51,487.69,1554.83,1768.54,3323.37,1956.01,1855.05,3811.06
2005,CA,06,039,06039,California-Madera County,142.788,394.33,0.00,394.33,440.46,0.00,440.46,834.79,0.00,834.79
2005,CA,06,041,06041,California-Marin County,246.960,4.09,0.06,4.15,32.61,0.00,32.61,36.70,0.06,36.76
2005,CA,06,043,06043,California-Mariposa County,18.069,4.69,0.00,4.69,4.55,0.00,4.55,9.24,0.00,9.24
2005,CA,06,045,06045,California-Mendocino County,88.161,22.89,0.11,23.00,35.11,0.00,35.11,58.00,0.11,58.11
2005,CA,06,047,06047,California-Merced County,241.706,447.08,0.69,447.77,1177.13,0.00,1177.13,1624.21,0.69,1624.90
2005,CA,06,049,06049,California-Modoc County,9.524,78.06,0.02,78.08,235.74,0.00,235.74,313.80,0.02,313.82
2005,CA,06,051,06051,California-Mono County,12.509,48.42,0.06,48.48,162.66,0.00,162.66,211.08,0.06,211.14
2005,CA,06,053,06053,California-Monterey County,412.104,432.56,2.74,435.30,83.51,610.38,693.89,516.07,613.12,1129.19
2005,CA,06,055,06055,California-Napa County,132.764,24.35,0.00,24.35,27.40,0.00,27.40,51.75,0.00,51.75
2005,CA,06,057,06057,California-Nevada County,98.394,21.02,0.31,21.33,67.55,0.00,67.55,88.57,0.31,88.88
2005,CA,06,059,06059,California-Orange County,2988.072,66.61,10.64,77.25,335.35,305.00,640.35,401.96,315.64,717.60
2005,CA,06,061,06061,California-Placer County,317.028,60.54,0.42,60.96,148.23,0.00,148.23,208.77,0.42,209.19
2005,CA,06,063,06063,California-Plumas County,21.477,17.48,0.06,17.54,61.73,0.00,61.73,79.21,0.06,79.27
2005,CA,06,065,06065,California-Riverside County,1946.419,331.36,0.00,331.36,926.09,0.00,926.09,1257.45,0.00,1257.45
2005,CA,06,067,06067,California-Sacramento County,1363.482,365.59,0.00,365.59,408.74,0.00,408.74,774.33,0.00,774.33
2005,CA,06,069,06069,California-San Benito County,55.936,40.91,0.16,41.07,28.37,0.00,28.37,69.28,0.16,69.44
2005,CA,06,071,06071,California-San Bernardino County,1963.535,240.75,18.81,259.56,326.53,0.00,326.53,567.28,18.81,586.09
2005,CA,06,073,06073,California-San Diego County,2933.462,104.18,2.27,106.45,507.92,3470.71,3978.63,612.10,3472.98,4085.08
2005,CA,06,075,06075,California-San Francisco County,739.426,7.79,0.14,7.93,72.57,1587.82,1660.39,80.36,1587.96,1668.32
2005,CA,06,077,06077,California-San Joaquin County,664.116,453.90,5.86,459.76,1023.78,0.00,1023.78,1477.68,5.86,1483.54
2005,CA,06,079,06079,California-San Luis Obispo County,255.478,143.68,2.37,146.05,27.04,2601.01,2628.05,170.72,2603.38,2774.10
2005,CA,06,081,06081,California-San Mateo County,699.610,53.76,0.15,53.91,97.21,0.00,97.21,150.97,0.15,151.12
