Year,Pop
2010,37334578
2011,37678534
2012,38045271
2013,38425695
2014,38756940
2015,39076128
2016,39328337
2017,39610556
2018,39825181
2019,40144770
2020,40467295
2021,40787577
2022,41110032
2023,41431252
2024,41749822
2025,42066880
2026,42381746
2027,42696773
2028,43010938
2029,43321597
2030,43631295
2031,43939333
2032,44243742
2033,44543231
2034,44837310
2035,45128459
2036,45409606
2037,45686965
2038,45958857
2039,46225382
2040,46484933
2041,46737692
2042,46986396
2043,47229164
2044,47463023
2045,47692488
2046,47918098
2047,48137153
2048,48351147
2049,48561007
2050,48762709
2051,48961538
2052,49154304
2053,49340582
2054,49526924
2055,49710895
2056,49890248
2057,50069933
2058,50246875
2059,50427046
2060,50605573
